subj,side,cond,bout,MDF,MNF,peakF,totpow,p_20_60,p_60_150,p_150_250,p_250_450,n_cycles,chew_rate,cv_ipi,med_dur,med_amp,med_area,duty,rms_amp
S9,R,PLA,2,110.0,123.5141676620361,67.0,9.051177042652931e-09,1.7579608945538694e-09,4.448864449095804e-09,2.1850838514949326e-09,5.579909447576747e-10,85,1.4075601374570448,0.21976472083339135,0.4814453125,0.00011548184227167374,3.09853857289188e-05,0.72724609375,9.593302399674004e-05
S9,R,PLA,3,111.0,122.92415756999515,52.0,1.0588405541858393e-08,2.155326050392109e-09,5.212624965811395e-09,2.455444751075084e-09,6.491470806862328e-10,85,1.4046639231824416,0.17270885711718587,0.4453125,0.00011450541516630832,3.2823858567112954e-05,0.68125,0.00010295895659500713
S9,R,PLA,4,107.0,119.95690417496805,55.0,1.0408284880870913e-08,2.2568383363630385e-09,5.125235780172447e-09,2.30641346025066e-09,5.93445874123028e-10,89,1.465998568360773,0.2484583700347624,0.462890625,0.0001459753340319517,3.193181367158667e-05,0.7318522135416666,0.00010378854275867769
PS8,R,ANE,1,81.0,92.69085400751776,61.0,1.5345976821327955e-08,4.533545504411767e-09,8.444791140957701e-09,1.9621729933040393e-09,2.1964996786303189e-10,93,1.7341236240474174,0.3454132965084251,0.49072265625,9.306375555083605e-05,3.803795047884807e-05,0.7718912760416666,0.00012440601521902588
PS8,R,ANE,2,85.0,101.5451041549886,39.0,1.0814927531413957e-08,3.1304183254036347e-09,5.371464002363144e-09,1.8788503872531204e-09,3.0312282782945954e-10,87,1.5729646697388633,0.3639556767380355,0.486328125,0.00014622408944912237,3.420556889125884e-05,0.738525390625,0.00010612134094749992
PS8,R,ANE,3,83.0,103.34288479556531,72.0,1.1987825680393965e-08,3.4424571526760687e-09,5.784127969985709e-09,2.2099857371696892e-09,4.067404364938803e-10,95,1.6357827476038338,0.3494438118924326,0.47509765625,0.00010965916231452533,3.338664859291096e-05,0.7450032552083333,0.00011003012696059471
PS8,R,ANE,4,80.0,96.38069848742246,56.0,9.849650231647022e-09,3.043263760135824e-09,4.934813457980369e-09,1.5280096677796882e-09,2.0741073557619029e-10,101,1.8075904677846426,0.3280027625976331,0.4609375,9.799925263476232e-05,2.69601147755106e-05,0.779833984375,9.994201260564572e-05
PS8,R,PLA,1,82.0,97.02312131666511,60.0,1.6423376067835092e-08,5.161967778354298e-09,7.985444242112785e-09,2.690389687656274e-09,3.4102467257092154e-10,89,1.6623376623376624,0.3220423292453538,0.48486328125,0.00011209158485398537,4.0279571158277166e-05,0.7937662760416667,0.00012849496266533364
PS8,R,PLA,2,84.0,102.22276262704085,54.0,1.119717786153413e-08,3.2199390619661677e-09,5.5615762430908525e-09,1.926986528887073e-09,3.617051797332441e-10,87,1.6489533011272142,0.36202409067165575,0.48974609375,9.33256998506679e-05,3.394278568027398e-05,0.7510579427083334,0.0001070251691253887
PS8,R,PLA,3,85.0,102.51679527677786,54.0,1.3435049671145111e-08,3.842064330193786e-09,6.598676022925106e-09,2.4110291260386893e-09,4.2881915946427855e-10,95,1.8059964726631392,0.33367278176965054,0.47314453125,8.152273001920731e-05,3.446236233972299e-05,0.78759765625,0.00011557271163936374
PS8,R,PLA,4,82.0,97.03415216743072,59.0,1.3952062314430463e-08,4.336669139201866e-09,6.828875365474193e-09,2.2497560445138423e-09,3.267074587214406e-10,100,1.7181208053691275,0.2689833791280275,0.4638671875,0.0001255362313559084,3.454310290324654e-05,0.814794921875,0.00012015238637655149
M2,L,ANE,1,83.0,96.88584754995769,32.0,1.3263048447393749e-09,4.232671353408341e-10,6.56149652213092e-10,2.0081956927248455e-10,2.8846517510563573e-11,89,1.5765973826020014,0.24849812376907646,0.50146484375,2.25637030754806e-05,1.2016744657084006e-05,0.7752115885416667,3.629194458857814e-05
M2,L,ANE,2,90.0,102.47959839736885,32.0,1.502976600024759e-09,4.1882089669627836e-10,7.606420062793051e-10,2.667052570073891e-10,3.665750297152516e-11,98,1.695364238410596,0.2455446553727746,0.4775390625,2.8097856952106494e-05,1.2469901319115157e-05,0.8027018229166667,3.871484437403578e-05
M2,L,ANE,3,89.0,102.00712264608502,32.0,1.7016493505421402e-09,5.09159302645528e-10,8.278966109921728e-10,3.032767896995916e-10,4.0564164418765665e-11,99,1.7414965986394557,0.20506576335414736,0.4951171875,3.522265643825018e-05,1.2729699987453353e-05,0.8385579427083333,4.081006030512592e-05
M2,L,ANE,4,87.0,101.0189346368275,33.0,1.7310635079563824e-09,5.364711151215181e-10,8.256841090581049e-10,3.099237765612115e-10,3.9593771319240426e-11,102,1.7624784853700517,0.19002922740468267,0.4990234375,3.385523814329216e-05,1.374071334707333e-05,0.8649251302083333,4.233023976413826e-05
M2,L,PLA,1,83.0,98.74125843284993,37.0,5.235068188808026e-10,1.7385388789719393e-10,2.4169236798358046e-10,8.860956834688374e-11,1.336354098073229e-11,93,1.585139318885449,0.2845417216255574,0.47900390625,2.5866598933441748e-05,8.25592927163874e-06,0.7706380208333333,2.286916344758157e-05
M2,L,PLA,2,87.0,101.28326031942044,35.0,8.570615914540506e-10,2.544092448603971e-10,4.2959419464522077e-10,1.414483527832022e-10,2.2110296164666755e-11,82,1.4586894586894588,0.2069173382192574,0.4921875,2.5805542852875446e-05,9.85834210251423e-06,0.7016276041666667,2.890052051820671e-05
M2,L,PLA,3,95.0,105.91291616162978,32.0,1.181790479215547e-09,3.1707317709100805e-10,5.942031529776e-10,2.2666167662768453e-10,3.122033531831929e-11,96,1.641025641025641,0.23716740020815913,0.470703125,2.2077212604958072e-05,1.1356450772962168e-05,0.78544921875,3.4287526631662695e-05
M2,L,PLA,4,86.0,99.43592705285161,33.0,1.2702912113542096e-09,4.178330225243711e-10,6.00843913009142e-10,2.039522339643299e-10,3.438341341373819e-11,95,1.654281098546042,0.21926251774155317,0.486328125,3.149275659363368e-05,1.2310508934653856e-05,0.7993326822916667,3.5675937988342176e-05
S14,R,ANE,1,104.0,114.00605885261704,52.0,2.2396233299042786e-09,4.894713620090612e-10,1.1326336733619702e-09,5.212225669333907e-10,7.006203607185666e-11,82,1.4143646408839778,0.20046420526967149,0.478515625,4.172605636322489e-05,1.601927495781795e-05,0.6472819010416667,4.6949870960378716e-05
S14,R,ANE,2,104.0,113.80174694637464,46.0,1.8252867594596468e-09,4.113821787350571e-10,9.261217468707417e-10,4.151531409373247e-10,5.4699836811388667e-11,83,1.3950953678474114,0.20838971279667015,0.48291015625,4.373483656014433e-05,1.4972778589827383e-05,0.65576171875,4.2501762276479214e-05
S14,R,ANE,3,103.0,111.98877770477623,51.0,1.7463782189789715e-09,4.0847711930968295e-10,8.849755877284016e-10,3.8403161125627963e-10,5.017671587103815e-11,85,1.4733812949640288,0.21197951741046242,0.4765625,4.487786075083426e-05,1.3773299422331618e-05,0.6724934895833333,4.1614310301805327e-05
S14,R,ANE,4,107.0,116.10001065097234,39.0,2.012254273464832e-09,4.0578183390548084e-10,1.0390933724338781e-09,4.789797920617292e-10,6.329227115004748e-11,87,1.4883720930232558,0.23909672667038753,0.486328125,4.3440562498536794e-05,1.5116630762124314e-05,0.7021647135416667,4.438941022558682e-05
S14,R,PLA,1,96.0,106.9660936176411,50.0,1.6880422580860617e-09,4.43846240119686e-10,8.439977330174411e-10,3.383376721792458e-10,4.2265388346149004e-11,83,1.601250977326036,0.24253531079562363,0.47802734375,3.438877469183157e-05,1.4722881828526533e-05,0.718359375,4.144581066222539e-05
S14,R,PLA,2,104.0,115.42951967693803,79.0,1.5448032127998884e-09,3.0783824271898947e-10,8.090976733058028e-10,3.6140749579280537e-10,4.9775178771656104e-11,87,1.514792899408284,0.2437371934834108,0.45751953125,3.841802495308455e-05,1.4035875542812513e-05,0.671044921875,3.914425405486352e-05
S14,R,PLA,3,87.0,100.66547144003952,35.0,1.5531462062735272e-09,4.2793867359817817e-10,8.193768977304699e-10,2.5746488245353695e-10,3.111104854297037e-11,84,1.5410082768999247,0.19517131719207836,0.486328125,4.306008780238782e-05,1.4004883456026129e-05,0.7056315104166667,3.966653295366094e-05
S14,R,PLA,4,77.0,89.47516916370823,32.0,1.122424475657072e-09,3.8308192742690054e-10,5.805410120211826e-10,1.288801238404193e-10,1.4928807156993426e-11,84,1.5340823970037454,0.19282680260449744,0.4697265625,2.6536760102604076e-05,1.1404477266011225e-05,0.6859700520833333,3.369692919787298e-05
S6,R,ANE,1,84.0,93.34756901594574,77.0,4.0237722486315715e-09,1.1574113229655258e-09,2.2965020771212752e-09,4.768784204967306e-10,4.60202699380424e-11,99,1.6897689768976898,0.2505513241711318,0.42919921875,7.231621722913474e-05,2.0537360587790882e-05,0.726220703125,6.37008261842646e-05
S6,R,ANE,2,84.0,92.78898066933402,43.0,3.827535179528602e-09,1.1297999413076167e-09,2.145404951142623e-09,4.675282513362224e-10,4.658773044999182e-11,103,1.787085514834206,0.2512839649046503,0.392578125,5.8592925288513694e-05,1.8381759903772586e-05,0.715087890625,6.146434752602214e-05
S6,R,ANE,3,87.0,94.38408260227891,40.0,5.318419910220716e-09,1.5789716332476498e-09,2.940070354371958e-09,6.806040254934149e-10,5.874969800649556e-11,104,1.8091872791519434,0.2263034461623747,0.4140625,7.174017461776931e-05,2.1667434332073407e-05,0.7190755208333334,7.319394915869718e-05
S6,R,ANE,4,83.0,92.36608772038443,37.0,3.091662512367475e-09,9.973940570892287e-10,1.6443824063294907e-09,3.7252776511702856e-10,4.1801116033096684e-11,100,1.7038269550748752,0.25430966873605054,0.4150390625,4.84327723576728e-05,1.6649385019480497e-05,0.737548828125,5.5156779298040356e-05
S6,R,PLA,1,89.0,97.99128491845237,33.0,4.102123186237378e-09,1.0873006503756553e-09,2.3231070966767454e-09,5.843841842049734e-10,5.885406078039224e-11,92,1.5468277945619335,0.25417092730756885,0.42578125,6.305787950215443e-05,2.20777700890117e-05,0.69130859375,6.380101641232104e-05
S6,R,PLA,2,85.0,93.45086867179681,79.0,4.127181366208448e-09,1.212471018097358e-09,2.3303910815433156e-09,4.92511381232633e-10,5.018795617629003e-11,91,1.7123745819397993,0.264690614394137,0.443359375,6.461761975199448e-05,2.2914511975079015e-05,0.7125651041666666,6.490812679860922e-05
S6,R,PLA,3,86.0,95.17220236343194,72.0,4.058743234272529e-09,1.1437779652432706e-09,2.2883691882067e-09,5.217970610019269e-10,5.657261795706141e-11,97,1.6502820306204673,0.24717381993647525,0.41943359375,6.999464676231584e-05,1.9468493761732527e-05,0.690087890625,6.326481460148189e-05
S6,R,PLA,4,83.0,92.36788432787299,79.0,3.758664675213162e-09,1.1255103694642295e-09,2.111923512216812e-09,4.348709795497763e-10,4.581453588965003e-11,98,1.6869851729818781,0.22970163352056866,0.4287109375,6.0889940579189336e-05,1.883473023461459e-05,0.72412109375,6.102473091045705e-05
PS7,R,ANE,1,87.0,102.10190452982395,45.0,5.061029080656292e-09,1.6172701020373258e-09,2.3173468243432363e-09,9.051335524433026e-10,1.5803580103902005e-10,100,1.8788990825688074,0.32871896755919516,0.439453125,6.756404851317004e-05,2.0136803323060238e-05,0.7585286458333333,7.097888857167635e-05
PS7,R,ANE,2,89.0,102.24164180422486,29.0,4.983045234065075e-09,1.517871859683112e-09,2.4253098006528396e-09,8.354791006838808e-10,1.5144102103735425e-10,101,1.9248120300751879,0.32994225318397374,0.421875,6.933641945970894e-05,2.2418345180102828e-05,0.727392578125,7.134157559164299e-05
PS7,R,ANE,3,89.0,102.70965509427606,49.0,5.811316738942881e-09,1.8140897289044443e-09,2.7733397305990774e-09,9.817388747831242e-10,1.792951033495358e-10,93,1.4453069865913903,0.2789062941843635,0.4169921875,7.271123036512674e-05,2.335743047668524e-05,0.6561197916666667,7.62142046711695e-05
PS7,R,ANE,4,87.0,100.03796894585743,55.0,6.862091696987385e-09,2.181352107750443e-09,3.2813442573681277e-09,1.1313971510599535e-09,1.7706032442705522e-10,92,1.4504249291784703,0.2067071714576507,0.3994140625,9.778409895345845e-05,2.490924705926237e-05,0.6185709635416666,8.223723218105102e-05
PS7,R,PLA,1,78.0,94.32100177780626,41.0,5.882660844128275e-09,2.1096595730075943e-09,2.732536507649341e-09,8.233684974752985e-10,1.4154448199486652e-10,94,1.514792899408284,0.261167092476752,0.4052734375,6.425519337711455e-05,2.401246731651165e-05,0.6625813802083333,7.665344674627932e-05
PS7,R,PLA,2,88.0,102.00916084768275,58.0,7.521931830861196e-09,2.315059461140058e-09,3.591401738902253e-09,1.2915177426607573e-09,2.1391917002854372e-10,94,1.4691535150645625,0.19833821942511812,0.3916015625,9.013220181802706e-05,2.57065230367082e-05,0.6251627604166666,8.657515656751658e-05
PS7,R,PLA,3,83.0,98.23138052610794,35.0,6.837389295180775e-09,2.3498516816420538e-09,3.1222731224549414e-09,1.1039249961440095e-09,1.8753901273019237e-10,91,1.4649499284692418,0.2233122481757972,0.4111328125,8.827727775762466e-05,2.5600761607011685e-05,0.647509765625,8.346998639162974e-05
PS7,R,PLA,4,83.0,98.56582304675125,35.0,6.942131286841176e-09,2.295126839064423e-09,3.2797742283382617e-09,1.1051311918411721e-09,1.7955088906525721e-10,88,1.4483734087694484,0.15303896590799332,0.416015625,6.77784359215331e-05,2.75720364344706e-05,0.60224609375,8.309812736532912e-05
PS12,L,ANE,1,96.0,109.57569534561601,83.0,6.849455840347627e-09,1.5689882187688177e-09,3.661956709550993e-09,1.288103455237987e-09,2.514005347848185e-10,90,1.4970760233918128,0.20046805342607293,0.421875,0.00016827357985450199,2.477589745239054e-05,0.68623046875,8.161585075964222e-05
PS12,L,ANE,2,90.0,104.35465631978585,42.0,6.906600326674389e-09,1.923314843944717e-09,3.439376780171897e-09,1.2370927616052435e-09,2.2178655242844628e-10,92,1.5538694992412747,0.1920907438050411,0.3955078125,0.00012250677043967528,2.1710157907441565e-05,0.6312825520833333,8.261855796498253e-05
PS12,L,ANE,3,92.0,105.07007429299493,38.0,6.897399463139839e-09,1.864845807409596e-09,3.4990914980156237e-09,1.2649902360908634e-09,1.8782322199331055e-10,92,1.5306427503736921,0.16218069567036533,0.4052734375,0.00012704209595686516,2.1417345437182245e-05,0.6477213541666667,8.256175705143426e-05
PS12,L,ANE,4,100.0,112.96629700785226,46.0,7.834638689081447e-09,1.8311055981893384e-09,3.872938727040981e-09,1.752012563124443e-09,2.883652588766314e-10,95,1.5826893353941267,0.1588677690847992,0.39501953125,0.00013305979840714458,2.3117632326200775e-05,0.6745768229166667,8.863587946847265e-05
PS12,L,PLA,1,108.0,120.08781929509283,77.0,5.465431765778549e-09,9.710833851638657e-10,2.9252237765487773e-09,1.2515691637410327e-09,2.4983891307025134e-10,91,1.4473498233215547,0.2740836735370933,0.4375,9.087093588545449e-05,2.1043075865369144e-05,0.6564290364583333,7.514849959053129e-05
PS12,L,PLA,2,103.0,114.64910131913894,60.0,5.77531425973618e-09,1.2566734245780616e-09,2.9358076437954238e-09,1.2544995088863316e-09,2.4386793992530495e-10,87,1.3903598099117447,0.2167009142734455,0.3955078125,0.00011732444667302241,2.134444472453574e-05,0.59658203125,7.673394334791648e-05
PS12,L,PLA,3,96.0,108.29218098278548,91.0,6.121442497463117e-09,1.4332546022094685e-09,3.2839809002220706e-09,1.143565653052226e-09,1.8747942146082374e-10,88,1.4524822695035462,0.19862476029615736,0.3857421875,0.00014024794460011205,2.1982760610645028e-05,0.5880533854166666,7.935911275230399e-05
PS12,L,PLA,4,94.0,107.04220943269601,59.0,6.081895412918577e-09,1.5421302773909556e-09,3.157062223141783e-09,1.1146538189359206e-09,1.872796956617126e-10,92,1.528358208955224,0.1870533656486722,0.3935546875,0.00012072573070294901,2.0823181012423028e-05,0.6365234375,7.76753593735863e-05
PS15,R,ANE,1,94.0,106.00780781568974,53.0,1.396375973714094e-08,3.901807966924958e-09,6.788277155514055e-09,2.7433192787726783e-09,3.587667911656194e-10,97,1.620253164556962,0.07893653557832052,0.47119140625,0.00010703480599015094,4.396462236188923e-05,0.7922037760416667,0.00011840687942786273
PS15,R,ANE,2,89.0,104.32073793525848,65.0,1.1762202695214297e-08,3.344543225567808e-09,5.705490128295466e-09,2.22604732968878e-09,3.197341699545756e-10,102,1.695364238410596,0.10702006844681868,0.4287109375,0.00012262780234188563,3.6284313142891954e-05,0.7521158854166666,0.00010897707348137322
PS15,R,ANE,3,85.0,101.12231142937534,37.0,1.2471616846465299e-08,3.900365277849784e-09,5.888000240339923e-09,2.1866287166696125e-09,3.255218673074578e-10,100,1.6814449917898193,0.12937572177023907,0.4287109375,0.0001306023806289415,3.8036510661573845e-05,0.7473470052083333,0.00011199404317583602
PS15,R,ANE,4,87.0,102.7157539285225,52.0,1.3018248353933992e-08,3.741349985818341e-09,6.427953341918505e-09,2.3473237896717485e-09,3.1082165002759405e-10,107,1.7655172413793103,0.118325111843316,0.42626953125,0.00010986511679975505,3.6680759635893015e-05,0.754248046875,0.00011360478375830497
PS15,R,PLA,1,99.0,110.10524822524803,51.0,1.100845647779682e-08,2.809018766485418e-09,5.343621565122941e-09,2.3868418819341887e-09,3.343226933824025e-10,100,1.665040650406504,0.1555038145551201,0.4501953125,0.00014426272413701729,3.6037037234191425e-05,0.774072265625,0.00010570475264506558
PS15,R,PLA,2,95.0,107.96798039248608,56.0,1.3658318952413077e-08,3.4905519952146315e-09,6.847091740749372e-09,2.7822816357848356e-09,3.6069970332377234e-10,105,1.7716262975778547,0.11886208422565511,0.4306640625,0.0001928597629358033,3.799947200143582e-05,0.7649576822916667,0.00011689845943576404
