bout,n,dz,p,p_fdr
1,31,-0.26481325869525607,0.15165852662175894,0.576961146046718
2,31,-0.1909826573878937,0.2899207631126046,0.576961146046718
3,31,-0.1031617195470297,0.43272085953503847,0.576961146046718
4,31,-0.005920472535214369,0.7206862810999155,0.7206862810999155
