subj,emg_comp,tb_rt_ANE,tb_acc_ANE,vo_rt_ANE,vo_acc_ANE,tb_rt_PLA,tb_acc_PLA,vo_rt_PLA,vo_acc_PLA,d_tb_rt,d_tb_acc,d_vo_rt,d_vo_acc
M1,37.49061680049047,464.95449539371833,100.0,438.70428911697593,97.95918367346938,517.5592424539251,98.63013698630137,468.6279594665393,97.87234042553192,-52.60474706020676,1.3698630136986338,-29.923670349563395,0.08684324793746612
M2,-3.302895857961147,413.04558044548963,97.14285714285714,467.23486888179673,97.82608695652173,439.7390304462706,98.48484848484848,440.0208183238055,97.82608695652173,-26.693450000780956,-1.3419913419913456,27.214050557991243,0.0
M4,49.257726609994066,467.20219791083247,89.23076923076924,434.121233846156,93.75,393.1090017053297,98.46153846153847,447.5930641283829,97.91666666666666,74.09319620550275,-9.230769230769226,-13.471830282226904,-4.166666666666657
M5,21.664535078632895,542.5796879261646,52.17391304347826,463.6944120701297,100.0,604.6792543116874,70.2127659574468,460.73444782439856,100.0,-62.099566385522735,-18.038852913968547,2.9599642457311575,0.0
M6,135.8555273935021,714.6284202374437,46.34146341463415,547.3934045772289,75.67567567567568,751.7364736115645,64.44444444444444,525.8764344136781,84.84848484848484,-37.1080533741208,-18.102981029810294,21.51697016355081,-9.172809172809167
PS1,88.9086056843937,506.5406711835836,95.58823529411765,466.58944933075134,100.0,469.1014232797246,98.57142857142858,463.5037660015325,97.82608695652173,37.439247903858984,-2.9831932773109315,3.0856833292188526,2.173913043478265
PS2,126.23441908126965,670.2444161599724,92.3076923076923,507.4765473755543,92.85714285714286,643.8664397056629,95.52238805970148,498.2067254486059,95.1219512195122,26.377976454309533,-3.2146957520091775,9.269821926948396,-2.2648083623693367
PS3,-34.71490716124333,742.0558681171896,53.73134328358209,470.7536605929358,100.0,647.1170430931616,41.66666666666667,494.318926922276,100.0,94.938825024028,12.06467661691542,-23.565266329340204,0.0
PS4,18.699173675436782,616.684527609832,88.13559322033898,457.08734037751645,68.62745098039215,625.4141561896378,85.18518518518519,445.7403377381451,80.85106382978722,-8.729628579805762,2.950408035153785,11.34700263937134,-12.223612849395067
PS5,52.12921683037372,730.0376129112465,87.5,438.36586899537497,97.82608695652173,801.2029553873617,89.36170212765957,487.2291718745276,95.55555555555556,-71.16534247611526,-1.8617021276595693,-48.86330287915263,2.2705314009661777
PS6,106.59938801951272,579.6454008950546,96.82539682539682,459.28301914408735,97.82608695652173,520.7794057803312,95.58823529411765,447.5196372515649,100.0,58.86599511472343,1.2371615312791704,11.763381892522432,-2.173913043478265
PS7,3.3088551360554845,540.4444923971403,96.36363636363636,491.99291359995686,95.83333333333334,457.5693487257802,98.21428571428571,474.25507165859347,92.0,82.87514367136009,-1.8506493506493484,17.7378419413634,3.833333333333343
PS8,-19.027829303149332,495.0444004322701,91.66666666666666,499.3616065909263,97.82608695652173,616.516355543519,75.40983606557377,513.2129172261557,91.8918918918919,-121.47195511124892,16.256830601092886,-13.851310635229368,5.934195064629833
PS9,11.348715245487853,542.9101174389104,67.79661016949152,477.9835775315488,97.87234042553192,530.1906532404246,94.54545454545455,488.9401748192407,97.72727272727273,12.719464198485866,-26.74884437596303,-10.95659728769192,0.14506769825918298
PS10,10.472804174058744,646.2537425359187,96.55172413793103,478.39232259004643,93.47826086956522,624.453371439877,92.06349206349206,437.1272783148174,97.95918367346938,21.800371096041772,4.488232074438969,41.26504427522906,-4.480922803904164
PS11,22.593162569805763,709.0540611290322,45.20547945205479,470.4594438666667,100.0,730.4469262857144,32.30769230769231,490.2521676304348,100.0,-21.392865156682205,12.897787144362482,-19.79272376376815,0.0
PS12,77.40264396904746,585.049094099304,54.761904761904766,479.94858270179134,100.0,583.9743960736646,62.7906976744186,506.8894132112435,100.0,1.0746980256394636,-8.028792912513836,-26.940830509452155,0.0
PS13,-19.889346197413232,528.5706910851196,93.33333333333333,510.46037248410613,97.77777777777777,508.8019541832932,98.48484848484848,448.82813379893685,100.0,19.7687369018264,-5.151515151515156,61.632238685169284,-2.2222222222222285
PS14,40.657866258812575,429.93933691192956,97.14285714285714,458.3527460229561,100.0,427.90914462126665,100.0,449.711788099607,100.0,2.03019229066291,-2.857142857142861,8.640957923349106,0.0
