subj,auto_ok,ANE_b1,ANE_avg,ANE_b2,ANE_b3,ANE_b4,PLA_b1,PLA_avg,PLA_b2,PLA_b3,PLA_b4
M1,True,109.68829984140558,89.82862037479276,80.1899282985107,83.34521743855088,86.09103592070394,72.19768304091511,87.56924947717349,83.92606343844913,94.19936179931439,99.95388963001527
M2,True,22.5637030754806,29.93486365228236,28.097856952106493,35.22265643825018,33.85523814329216,25.866598933441747,26.310527746227237,25.805542852875444,22.07721260495807,31.49275659363368
M3,False,69.51665528707021,73.54810615178138,66.14129537822531,72.45185488131798,86.08261906051202,409.4251738110652,236.3742155797889,256.2701930142092,148.7700860025661,131.03140949131526
M4,True,144.18825571289238,141.48214974176665,165.40760594649106,133.9087016909221,122.42403561676107,94.93052910289832,97.97514675960369,109.61058884926213,117.2505876698372,70.10888141641713
M5,True,54.23984263188053,54.552709493092564,56.83943708406928,48.626899381320186,58.504658875100226,32.57530755324763,45.986010617872324,83.09399486838664,38.30489558711538,29.9698444627396
M6,True,257.7486886096415,245.5425409355292,240.71202012213124,229.3662257424995,254.34322926784455,121.89316121613938,186.31716969896303,205.05122842383017,158.8124700706986,259.51181908518396
M7,False,59.67063013714295,52.771483705386316,44.84492337061527,51.03635296688988,55.53402834689718,60.0305855352242,52.11435518450858,44.70324229164557,53.969353983261165,49.754238927903394
PS1,True,276.56768084784505,251.0593496622927,209.46690166916395,289.66964242019026,228.53317371197147,187.65907516345138,253.46845816707028,268.6840545699683,309.7932181149924,247.73748481986908
PS2,True,236.07103387514425,194.95133628302528,152.3788825555729,217.82533798010704,173.53009072127693,109.83661479387459,168.53601125121796,197.4896860048236,206.04600863135175,160.77173557482183
PS3,True,50.26094359849775,99.96487125060509,119.14848935362379,94.82831593497586,135.621736115323,84.97585075974108,134.90347107429224,131.45086750551422,178.01164974448386,145.17551628742984
PS4,True,118.31463525058544,106.09985668889865,108.74995184018276,63.9113484921641,133.42349117266232,99.61546157514866,101.20520006228837,90.92185430992676,109.8741978477169,104.40928651636119
PS5,True,143.87804340762636,93.10940375834018,83.13856500506057,56.647280962069196,88.77372565860463,91.74882657725264,97.1888908270182,107.31743854168106,92.58822791921465,97.10107026992445
PS6,True,169.99848392009537,206.35001482925432,251.47326673569685,199.67412215972786,204.2541865014972,63.39909590058265,140.02450835977382,158.4170898405104,138.59889045096637,199.6829572470358
PS7,True,67.56404851317004,76.84894932286603,69.33641945970894,72.71123036512674,97.78409895345845,64.25519337711455,77.61077721857484,90.13220181802706,88.27727775762466,67.7784359215331
PS8,True,93.06375555083605,111.73656498731152,146.22408944912237,109.65916231452533,97.99925263476231,112.09158485398537,103.11906151994226,93.3256998506679,81.52273001920732,125.5362313559084
PS9,True,71.60610518228361,78.83405013909152,96.96402323548845,80.3270580647651,66.43901407382889,60.257389936795754,69.14536520632333,58.77833457489692,67.11033348590003,90.43540282770064
PS10,True,40.595430616975214,29.79003280930668,25.048517316309155,28.72588186320902,24.790301440733334,30.12262644291647,30.918910495466868,26.297378700029718,31.092688690073427,36.16294814884787
PS11,True,85.50273268234947,79.11569030062851,91.785550223575,54.870370824687576,84.30410747190199,62.90957011254371,64.31070273497379,55.25413294188963,71.41377808315768,67.66532980230409
PS12,True,168.27357985450197,137.72056116454675,122.50677043967528,127.04209595686515,133.0597984071446,90.87093588545449,117.2922644653845,117.32444667302241,140.24794460011205,120.72573070294901
PS13,True,82.80807042759825,124.04724109193988,123.70603988988329,182.07646395407562,107.59839009620235,102.69741662501147,104.56010002136355,90.59101394579605,95.17702403730242,129.77494547734423
PS14,True,124.7218485025666,108.578772747006,109.82035011226566,91.62571983860278,108.14717253458892,84.06398224375403,109.47488486049734,89.85877173759252,138.89921565345858,125.0775698071842
PS15,True,107.03480599015094,117.53252644018329,122.62780234188563,130.60238062894152,109.86511679975506,144.26272413701727,168.3161847779217,192.8597629358033,174.6730328198749,161.4692192189913
