feature,n,mean_ANE,mean_PLA,mean_diff,sd_diff,shapiro_p,t_p,wilcoxon_p,cohen_dz,rank_biserial,tost_p,equiv_lo,equiv_hi,wilcoxon_fdr,sig_fdr,equivalent
MDF,34,93.44117647058823,94.41176470588235,-0.9705882352941176,5.072118044927146,0.20770367745100865,0.2725685456831997,0.18561427307632516,-0.191357580146394,-0.28045977011494255,0.04053032611929591,-2.536059022463573,2.536059022463573,0.3764223588863388,False,True
MNF,34,105.70998781532137,106.68580595299392,-0.9758181376725349,4.143748694857498,0.5339999015047737,0.17896761416261012,0.13832266710232943,-0.23549163077470192,-0.29411764705882354,0.06626407928122037,-2.071874347428749,2.071874347428749,0.3359264772485143,False,False
peakF,34,53.23529411764706,53.3235294117647,-0.08823529411764706,15.074296098062089,0.00031814450858124105,0.9729785690653343,0.5306566480362722,-0.0058533608165618,0.1268939393939394,0.003455056676579595,-7.537148049031044,7.537148049031044,0.6443687869011877,False,True
totpow,34,1.18061003488572e-08,1.1069710973201232e-08,7.363893756559665e-10,2.3242675645206713e-09,0.0027149642879176128,0.07367097579196352,0.10871651535853744,0.31682642174969666,0.3176470588235294,0.14661869527364516,-1.1621337822603356e-09,1.1621337822603356e-09,0.3359264772485143,False,False
rms_amp,34,0.00010005279867871334,9.726080879615418e-05,2.791989882559153e-06,8.734114973172369e-06,0.5726109394825234,0.07124618515085591,0.10871651535853744,0.31966488775737495,0.3176470588235294,0.150328410106128,-4.367057486586184e-06,4.367057486586184e-06,0.3359264772485143,False,False
p_20_60,34,3.0824591331633022e-09,2.863937225177819e-09,2.185219079854827e-10,6.174251423720178e-10,0.0009010237856186378,0.04698122297915699,0.12074384978041053,0.353924537549552,0.30756302521008405,0.20024350024061466,-3.087125711860089e-10,3.087125711860089e-10,0.3359264772485143,False,False
p_60_150,34,6.088320937510291e-09,5.681699593377656e-09,4.0662134413263587e-10,1.2290519464818261e-09,0.0003803551076268065,0.062352651660756764,0.10871651535853744,0.33084146304523065,0.3176470588235294,0.16556797822406827,-6.145259732409131e-10,6.145259732409131e-10,0.3359264772485143,False,False
p_150_250,34,2.1734868620322485e-09,2.068780419890362e-09,1.0470644214188648e-10,5.117252894839889e-10,0.0018917716252102494,0.24133882296609946,0.22142491699196398,0.2046145545151186,0.24369747899159663,0.047181249425339564,-2.5586264474199444e-10,2.5586264474199444e-10,0.3764223588863388,False,True
p_250_450,34,3.1852724137497414e-10,3.220701772953076e-10,-3.542935920333533e-12,7.820957987444923e-11,0.0017666049451057191,0.7933106818108837,1.0,-0.045300536405144365,0.0016806722689075631,0.006110971112498358,-3.9104789937224616e-11,3.9104789937224616e-11,1.0,False,True
chew_rate,34,1.5595995657450297,1.5434893186410081,0.016110247104021556,0.08845552730904571,0.1355929198268387,0.29595477561683603,0.2777551868930459,0.18212821283327624,0.21680672268907564,0.036384935628734336,-0.044227763654522856,0.044227763654522856,0.41537092735719244,False,True
cv_ipi,34,0.2279290259143816,0.2381637694913368,-0.010234743576955203,0.03680135384203616,0.02378003144320427,0.11439903104802912,0.04639338422566652,-0.2781078006229385,-0.3915966386554622,0.10235119686919916,-0.01840067692101808,0.01840067692101808,0.3359264772485143,False,False
med_dur,34,0.46121036305147056,0.46207203584558826,-0.000861672794117647,0.017446958251825975,0.4694201822115531,0.7751631266010339,0.7582009310545827,-0.04938813870477769,-0.06050420168067227,0.006474699419846331,-0.008723479125912988,0.008723479125912988,0.8055884892454942,False,True
med_amp,34,0.0001200773830100136,0.00011284464590842812,7.232737101585497e-06,2.070256751202673e-05,0.03280170701942854,0.04972333522285608,0.010655494872480631,0.3493642562635667,0.4957983193277311,0.19305233227971363,-1.0351283756013366e-05,1.0351283756013366e-05,0.18114341283217072,False,False
med_area,34,3.1339253232381956e-05,3.0941474994682314e-05,3.977782376996383e-07,2.529807418786647e-06,0.943266282527491,0.36587923551155865,0.3786884272703901,0.15723656858055296,0.17647058823529413,0.026970373761557177,-1.2649037093933235e-06,1.2649037093933235e-06,0.49520794335358703,False,True
duty,34,0.7277093625536153,0.7199174469592525,0.007791915594362751,0.033440555598986434,0.045599398746190775,0.18347013813899843,0.22142491699196398,0.23300795859381354,0.24369747899159663,0.06452670559642765,-0.016720277799493217,0.016720277799493217,0.3764223588863388,False,False
mdf_slope,34,-1.2897939387421233,-2.2989604899306513,1.0091665511885282,5.867013763290945,0.951609881294461,0.323176440550375,0.2932030075462535,0.17200684912360986,0.21008403361344538,0.03226144862862158,-2.9335068816454726,2.9335068816454726,0.41537092735719244,False,True
mnf_slope,34,-1.4432281479148297,-2.048630800391235,0.605402652476405,5.034575260105893,0.5974359342839652,0.48811462171057074,0.6123437237692997,0.12024900238827128,0.10252100840336134,0.016913139399906074,-2.5172876300529463,2.5172876300529463,0.6939895536052063,False,True
